left_fsr_reading_mv,right_fsr_reading_mv,hip_distance,Activity,label
3119.0,1027.0,7.0,Walking,2
3382.0,2308.0,8.0,Walking,2
3441.0,2614.0,10.0,Walking,2
3431.0,2847.0,13.0,Walking,2
3543.0,2586.0,14.0,Walking,2
3554.0,1709.0,14.0,Walking,2
3560.0,1535.0,13.0,Walking,2
3576.0,2661.0,13.0,Walking,2
3525.0,3060.0,11.0,Walking,2
3554.0,3062.0,12.0,Walking,2
3614.0,3019.0,12.0,Walking,2
3606.0,2912.0,12.0,Walking,2
3543.0,2986.0,12.0,Walking,2
3497.0,3135.0,11.0,Walking,2
2206.0,2673.0,10.0,Walking,2
2139.0,2168.0,12.0,Walking,2
3016.0,2737.0,11.0,Walking,2
2952.0,2278.0,11.0,Walking,2
2776.0,2342.0,11.0,Walking,2
3170.0,3004.0,10.0,Walking,2
3136.0,3083.0,10.0,Walking,2
3148.0,2946.0,11.0,Walking,2
3271.0,3110.0,10.0,Walking,2
3271.0,2706.0,10.0,Walking,2
3256.0,2596.0,10.0,Walking,2
3350.0,3154.0,10.0,Walking,2
3216.0,3027.0,11.0,Walking,2
3241.0,3010.0,11.0,Walking,2
3309.0,3021.0,11.0,Walking,2
3297.0,2515.0,11.0,Walking,2
3321.0,2702.0,12.0,Walking,2
3350.0,3020.0,11.0,Walking,2
3177.0,3030.0,12.0,Walking,2
3143.0,2958.0,13.0,Walking,2
3173.0,2925.0,13.0,Walking,2
2901.0,2744.0,13.0,Walking,2
2671.0,2733.0,12.0,Walking,2
2905.0,2904.0,12.0,Walking,2
3128.0,2986.0,11.0,Walking,2
3344.0,3063.0,11.0,Walking,2
3420.0,3197.0,12.0,Walking,2
3321.0,3234.0,12.0,Walking,2
3340.0,3325.0,11.0,Walking,2
3348.0,3466.0,10.0,Walking,2
3228.0,3582.0,11.0,Walking,2
3299.0,3573.0,12.0,Walking,2
3443.0,3560.0,13.0,Walking,2
3491.0,3551.0,13.0,Walking,2
3485.0,3585.0,13.0,Walking,2
3205.0,2961.0,12.0,Sitting,0
3484.0,3196.0,11.0,Sitting,0
3554.0,3087.0,10.0,Sitting,0
3590.0,3177.0,10.0,Sitting,0
3588.0,3272.0,11.0,Sitting,0
3596.0,3385.0,10.0,Sitting,0
3623.0,3551.0,8.0,Sitting,0
3588.0,3536.0,5.0,Sitting,0
3580.0,3528.0,8.0,Sitting,0
3160.0,3417.0,13.0,Sitting,0
3104.0,3489.0,19.0,Sitting,0
2890.0,3301.0,24.0,Sitting,0
2611.0,3243.0,25.0,Sitting,0
3403.0,3232.0,8.0,Sitting,0
3467.0,3089.0,8.0,Sitting,0
3477.0,2914.0,10.0,Sitting,0
3523.0,3054.0,10.0,Sitting,0
3537.0,3201.0,8.0,Sitting,0
3609.0,3438.0,6.0,Sitting,0
3597.0,3418.0,4.0,Sitting,0
3632.0,3621.0,10.0,Sitting,0
3379.0,3359.0,17.0,Sitting,0
2995.0,2992.0,11.0,Sitting,0
3400.0,3447.0,10.0,Sitting,0
3603.0,3572.0,9.0,Sitting,0
3621.0,3471.0,8.0,Sitting,0
3533.0,3323.0,13.0,Sitting,0
3082.0,3268.0,24.0,Sitting,0
908.0,3226.0,9.0,Sitting,0
3271.0,3456.0,7.0,Sitting,0
3322.0,3474.0,5.0,Sitting,0
2406.0,3522.0,12.0,Sitting,0
2542.0,3467.0,17.0,Sitting,0
2719.0,2120.0,10.0,Sitting,0
3263.0,3185.0,11.0,Sitting,0
3501.0,3516.0,10.0,Sitting,0
3617.0,3648.0,9.0,Sitting,0
3582.0,3643.0,8.0,Sitting,0
3496.0,3417.0,15.0,Sitting,0
