left_fsr_reading_mv,right_fsr_reading_mv,hip_distance,Activity,label
2769.0,1829.0,10.0,Walking,2
3002.0,539.0,11.0,Walking,2
3296.0,1350.0,13.0,Walking,2
3568.0,2489.0,15.0,Walking,2
3442.0,2664.0,15.0,Walking,2
3500.0,2321.0,13.0,Walking,2
3468.0,2681.0,12.0,Walking,2
3487.0,2317.0,10.0,Walking,2
3467.0,2501.0,11.0,Walking,2
3479.0,2860.0,13.0,Walking,2
3456.0,2901.0,13.0,Walking,2
3493.0,3017.0,13.0,Walking,2
3446.0,2490.0,13.0,Walking,2
3456.0,2419.0,14.0,Walking,2
3503.0,2793.0,13.0,Walking,2
3291.0,2702.0,14.0,Walking,2
3256.0,2680.0,15.0,Walking,2
3410.0,2777.0,14.0,Walking,2
3486.0,2743.0,12.0,Walking,2
3484.0,2460.0,11.0,Walking,2
3501.0,2448.0,9.0,Walking,2
3518.0,2628.0,9.0,Walking,2
3323.0,2782.0,10.0,Walking,2
3381.0,3037.0,11.0,Walking,2
3497.0,2861.0,11.0,Walking,2
3560.0,2533.0,11.0,Walking,2
3511.0,2293.0,11.0,Walking,2
3549.0,2627.0,11.0,Walking,2
3465.0,2786.0,11.0,Walking,2
3427.0,2835.0,12.0,Walking,2
3450.0,2963.0,13.0,Walking,2
3504.0,2871.0,12.0,Walking,2
3520.0,2869.0,11.0,Walking,2
3456.0,2822.0,9.0,Walking,2
3523.0,2923.0,8.0,Walking,2
3509.0,2886.0,9.0,Walking,2
3454.0,2903.0,10.0,Walking,2
3498.0,2927.0,10.0,Walking,2
3569.0,2630.0,9.0,Walking,2
3514.0,2101.0,9.0,Walking,2
3541.0,2499.0,9.0,Walking,2
3584.0,2854.0,9.0,Walking,2
3482.0,2961.0,11.0,Walking,2
3481.0,3053.0,13.0,Walking,2
3518.0,3129.0,13.0,Walking,2
3509.0,2907.0,13.0,Walking,2
3477.0,2989.0,11.0,Walking,2
3499.0,2934.0,10.0,Walking,2
3520.0,3042.0,9.0,Walking,2
3442.0,2932.0,11.0,Walking,2
3443.0,2880.0,13.0,Walking,2
3489.0,2909.0,13.0,Walking,2
3491.0,2715.0,12.0,Walking,2
3508.0,2404.0,11.0,Walking,2
3533.0,2696.0,11.0,Walking,2
3619.0,2842.0,9.0,Walking,2
3594.0,2761.0,11.0,Walking,2
