time_stamp,left_fsr_reading_mv,right_fsr_reading_mv,hip_distance,left_vibration_trigger,right_vibration_trigger,hip_vibration_trigger,Name,Activity
944011620,2525.0,2957.0,12.0,0,0,0,Nick_Stankus,Standing
944011620,2179.0,3327.0,11.0,0,0,0,Nick_Stankus,Standing
944011621,2778.0,2662.0,12.0,0,0,0,Nick_Stankus,Standing
944011621,3623.0,3450.0,7.0,0,0,0,Nick_Stankus,Standing
944011621,3627.0,3506.0,4.0,0,0,0,Nick_Stankus,Standing
944011621,3679.0,3586.0,3.0,0,0,0,Nick_Stankus,Standing
944011622,3184.0,3225.0,5.0,0,0,0,Nick_Stankus,Standing
944011622,695.0,1743.0,12.0,0,0,0,Nick_Stankus,Standing
944011625,3648.0,3101.0,11.0,0,0,0,Nick_Stankus,Standing
944011625,3733.0,2850.0,7.0,0,0,0,Nick_Stankus,Standing
944011625,1379.0,2735.0,6.0,0,0,0,Nick_Stankus,Standing
944011626,3406.0,2808.0,6.0,0,0,0,Nick_Stankus,Standing
944011626,3562.0,3029.0,7.0,0,0,0,Nick_Stankus,Standing
944011629,2309.0,2819.0,12.0,0,0,0,Nick_Stankus,Standing
944011629,3635.0,3584.0,13.0,0,0,0,Nick_Stankus,Standing
944011629,3312.0,3423.0,11.0,0,0,0,Nick_Stankus,Standing
944011630,3463.0,3443.0,9.0,0,0,0,Nick_Stankus,Standing
944011630,3692.0,3635.0,9.0,0,0,0,Nick_Stankus,Standing
944011630,3167.0,3196.0,10.0,0,0,0,Nick_Stankus,Standing
944011633,3651.0,3553.0,13.0,0,0,0,Nick_Stankus,Standing
944011634,3661.0,3455.0,7.0,0,0,0,Nick_Stankus,Standing
944011634,3534.0,3333.0,6.0,0,0,0,Nick_Stankus,Standing
944011634,2253.0,614.0,7.0,0,0,0,Nick_Stankus,Standing
944011637,3551.0,3416.0,14.0,0,0,0,Nick_Stankus,Standing
944011638,3589.0,3365.0,11.0,0,0,0,Nick_Stankus,Standing
944011638,2918.0,3179.0,7.0,0,0,0,Nick_Stankus,Standing
944011638,602.0,2595.0,10.0,0,0,0,Nick_Stankus,Standing
944011641,3185.0,3244.0,16.0,0,0,0,Nick_Stankus,Standing
944011641,3374.0,3123.0,13.0,0,0,0,Nick_Stankus,Standing
944011641,3282.0,3435.0,11.0,0,0,0,Nick_Stankus,Standing
944011644,2215.0,2679.0,14.0,0,0,0,Nick_Stankus,Standing
944011644,3208.0,3414.0,14.0,0,0,0,Nick_Stankus,Standing
944011644,2466.0,3330.0,10.0,0,0,0,Nick_Stankus,Standing
944011645,2912.0,3441.0,11.0,0,0,0,Nick_Stankus,Standing
944011647,973.0,1283.0,13.0,0,0,0,Nick_Stankus,Standing
944011647,2639.0,1561.0,11.0,0,0,0,Nick_Stankus,Standing
944011648,3080.0,2386.0,9.0,0,0,0,Nick_Stankus,Standing
944011648,3029.0,1474.0,11.0,0,0,0,Nick_Stankus,Standing
944011650,3058.0,3027.0,12.0,0,0,0,Nick_Stankus,Standing
944011651,2961.0,3110.0,9.0,0,0,0,Nick_Stankus,Standing
944011651,3322.0,3257.0,10.0,0,0,0,Nick_Stankus,Standing
944011653,2963.0,3305.0,11.0,0,0,0,Nick_Stankus,Standing
944011654,3558.0,3591.0,8.0,0,0,0,Nick_Stankus,Standing
944011654,3593.0,3519.0,7.0,0,0,0,Nick_Stankus,Standing
944011654,3290.0,3236.0,9.0,0,0,0,Nick_Stankus,Standing
944011661,367.0,3272.0,12.0,0,0,0,Nick_Stankus,Standing
944011661,2384.0,3184.0,9.0,0,0,0,Nick_Stankus,Standing
944011661,2848.0,3458.0,10.0,0,0,0,Nick_Stankus,Standing
944011661,680.0,1551.0,12.0,0,0,0,Nick_Stankus,Standing
944011662,1.0,510.0,13.0,0,0,0,Nick_Stankus,Standing
944011662,2000.0,2830.0,22.0,0,0,0,Nick_Stankus,Standing
944011664,1337.0,687.0,23.0,0,0,0,Nick_Stankus,Standing
944011664,2700.0,181.0,25.0,0,0,0,Nick_Stankus,Standing
944011665,3438.0,2663.0,16.0,0,0,0,Nick_Stankus,Standing
944011665,3373.0,3165.0,17.0,0,0,0,Nick_Stankus,Standing
944011666,3545.0,3467.0,16.0,0,0,0,Nick_Stankus,Standing
944011666,3554.0,3438.0,18.0,0,0,0,Nick_Stankus,Standing
944011668,2831.0,3183.0,16.0,0,0,0,Nick_Stankus,Standing
944011668,2094.0,2169.0,13.0,0,0,0,Nick_Stankus,Standing
944011669,1904.0,1027.0,13.0,0,0,0,Nick_Stankus,Standing
944011669,822.0,2820.0,14.0,0,0,0,Nick_Stankus,Standing
944011669,3463.0,3474.0,7.0,0,0,0,Nick_Stankus,Standing
944011669,3667.0,3596.0,7.0,0,0,0,Nick_Stankus,Standing
944011670,3726.0,3655.0,9.0,0,0,0,Nick_Stankus,Standing
944011670,1709.0,1157.0,13.0,0,0,0,Nick_Stankus,Standing
944011670,1.0,1.0,13.0,0,0,0,Nick_Stankus,Standing
944011672,3165.0,3239.0,15.0,0,0,0,Nick_Stankus,Standing
944011673,3560.0,3297.0,13.0,0,0,0,Nick_Stankus,Standing
944011673,3705.0,3626.0,10.0,0,0,0,Nick_Stankus,Standing
944011673,3716.0,3650.0,12.0,0,0,0,Nick_Stankus,Standing
944011674,2805.0,2741.0,15.0,0,0,0,Nick_Stankus,Standing
944011679,1.0,1.0,5.0,0,0,0,Nick_Stankus,Standing
944011681,2299.0,344.0,5.0,0,0,0,Nick_Stankus,Standing
944011682,2059.0,124.0,1.0,0,0,0,Nick_Stankus,Standing
944011684,3186.0,1.0,2.0,0,0,0,Nick_Stankus,Standing
944011684,3167.0,1.0,5.0,0,0,0,Nick_Stankus,Standing
944011688,1252.0,2991.0,6.0,0,0,0,Nick_Stankus,Standing
944011688,2634.0,2904.0,7.0,0,0,0,Nick_Stankus,Standing
944011688,2157.0,2232.0,7.0,0,0,0,Nick_Stankus,Standing
944011708,1.0,2163.0,2.0,0,0,0,Nick_Stankus,Standing
944011708,1.0,2971.0,1.0,0,0,0,Nick_Stankus,Standing
944011708,1.0,3034.0,4.0,0,0,0,Nick_Stankus,Standing
944011708,1121.0,2544.0,7.0,0,0,0,Nick_Stankus,Standing
944011709,1996.0,2145.0,7.0,0,0,0,Nick_Stankus,Standing
944011711,2739.0,1.0,2.0,0,0,0,Nick_Stankus,Standing
944011752,3240.0,2612.0,7.0,0,0,0,Nick_Stankus,Sitting
944011752,3433.0,2780.0,7.0,0,0,0,Nick_Stankus,Sitting
944011753,3539.0,2917.0,7.0,0,0,0,Nick_Stankus,Sitting
944011753,3569.0,2930.0,7.0,0,0,0,Nick_Stankus,Sitting
944011753,3526.0,3045.0,7.0,0,0,0,Nick_Stankus,Sitting
944011753,2918.0,219.0,7.0,0,0,0,Nick_Stankus,Sitting
944011754,3484.0,2363.0,8.0,0,0,0,Nick_Stankus,Sitting
944011754,3598.0,2942.0,11.0,0,0,0,Nick_Stankus,Sitting
944011754,3642.0,3263.0,9.0,0,0,0,Nick_Stankus,Sitting
944011754,3669.0,3463.0,7.0,0,0,0,Nick_Stankus,Sitting
944011755,3672.0,3498.0,8.0,0,0,0,Nick_Stankus,Sitting
944011755,3502.0,3426.0,14.0,1,0,0,Nick_Stankus,Sitting
944011755,2812.0,2497.0,22.0,0,0,0,Nick_Stankus,Sitting
944011755,3243.0,1911.0,26.0,0,0,0,Nick_Stankus,Sitting
944011756,2963.0,2444.0,27.0,0,0,0,Nick_Stankus,Sitting
944011758,3209.0,1860.0,8.0,0,0,0,Nick_Stankus,Sitting
944011758,3577.0,2986.0,8.0,0,0,0,Nick_Stankus,Sitting
944011758,3644.0,3198.0,8.0,0,0,0,Nick_Stankus,Sitting
944011758,3567.0,3191.0,8.0,0,0,0,Nick_Stankus,Sitting
944011759,3565.0,3252.0,10.0,0,0,0,Nick_Stankus,Sitting
944011759,3591.0,3196.0,12.0,0,0,0,Nick_Stankus,Sitting
944011759,3640.0,3387.0,10.0,0,0,0,Nick_Stankus,Sitting
944011759,3604.0,3439.0,8.0,0,0,0,Nick_Stankus,Sitting
944011759,3559.0,3540.0,7.0,0,0,0,Nick_Stankus,Sitting
944011760,3578.0,3553.0,11.0,0,0,0,Nick_Stankus,Sitting
944011760,3576.0,3350.0,16.0,0,0,0,Nick_Stankus,Sitting
944011760,3523.0,2811.0,26.0,0,0,0,Nick_Stankus,Sitting
944011763,3471.0,2804.0,9.0,0,0,0,Nick_Stankus,Sitting
944011763,3611.0,3145.0,9.0,0,0,0,Nick_Stankus,Sitting
944011764,3618.0,3278.0,10.0,0,0,0,Nick_Stankus,Sitting
944011764,3607.0,3315.0,12.0,0,0,0,Nick_Stankus,Sitting
944011764,3442.0,3338.0,14.0,0,0,0,Nick_Stankus,Sitting
944011764,3225.0,3457.0,10.0,0,0,0,Nick_Stankus,Sitting
944011765,3172.0,3487.0,10.0,0,0,0,Nick_Stankus,Sitting
944011765,3382.0,3444.0,9.0,0,0,0,Nick_Stankus,Sitting
944011765,3510.0,3414.0,10.0,0,0,0,Nick_Stankus,Sitting
944011765,3214.0,3386.0,14.0,0,0,0,Nick_Stankus,Sitting
944011766,3125.0,2915.0,23.0,0,0,0,Nick_Stankus,Sitting
944011766,3083.0,2943.0,28.0,0,0,0,Nick_Stankus,Sitting
944011769,1940.0,3432.0,5.0,0,0,0,Nick_Stankus,Sitting
944011769,3242.0,3547.0,5.0,0,0,0,Nick_Stankus,Sitting
944011769,3487.0,3639.0,6.0,0,0,0,Nick_Stankus,Sitting
944011769,3630.0,3632.0,8.0,0,0,0,Nick_Stankus,Sitting
944011770,3675.0,3637.0,11.0,0,0,0,Nick_Stankus,Sitting
944011770,3657.0,3610.0,9.0,0,0,0,Nick_Stankus,Sitting
944011770,3650.0,3525.0,9.0,0,0,0,Nick_Stankus,Sitting
944011770,3508.0,3157.0,12.0,0,0,0,Nick_Stankus,Sitting
944011771,3483.0,3307.0,25.0,0,0,0,Nick_Stankus,Sitting
944011773,3593.0,3039.0,7.0,0,0,0,Nick_Stankus,Sitting
944011774,3495.0,3401.0,6.0,0,0,0,Nick_Stankus,Sitting
944011774,3471.0,3548.0,8.0,0,0,0,Nick_Stankus,Sitting
944011774,3502.0,3538.0,11.0,0,0,0,Nick_Stankus,Sitting
944011774,3546.0,3480.0,11.0,0,0,0,Nick_Stankus,Sitting
944011775,3476.0,3564.0,9.0,0,0,0,Nick_Stankus,Sitting
944011775,3442.0,3586.0,8.0,0,0,0,Nick_Stankus,Sitting
944011775,3406.0,3555.0,5.0,0,0,0,Nick_Stankus,Sitting
944011775,3512.0,3628.0,7.0,0,0,0,Nick_Stankus,Sitting
944011776,908.0,3357.0,14.0,0,0,0,Nick_Stankus,Sitting
944011778,3408.0,2899.0,8.0,0,0,0,Nick_Stankus,Sitting
944011778,3523.0,3371.0,6.0,0,0,0,Nick_Stankus,Sitting
